iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
GNB,2030,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | CPV | GNB,532057600.0,True
GNB,2026,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2027,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2028,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2029,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
GNB,2030,6432454.0,532057600.0,0.0,CIV | LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | MRT | SLE | BEN | GNB,532057600.0,True
CMR,2026,3322010.8,311632640.0,440859789.86150104,CMR,-129227149.86150104,False
CMR,2027,3322010.8,311632640.0,460656237.5347073,CMR,-149023597.5347073,False
CMR,2028,3322010.8,311632640.0,480452685.2079136,CMR,-168820045.20791358,False
CMR,2029,3322010.8,311632640.0,500303369.7240601,CMR,-188670729.72406012,False
CMR,2030,3322010.8,311632640.0,520099817.3972664,CMR,-208467177.3972664,False
COD,2026,21241746.0,1405071200.0,2302018701.4977765,COD,-896947469.4977765,False
COD,2027,21241746.0,1405071200.0,2395691010.72518,COD,-990619778.7251801,False
COD,2028,21241746.0,1405071200.0,2489363319.952584,COD,-1084292087.9525838,False
COD,2029,21241746.0,1405071200.0,2583292265.643625,COD,-1178221033.6436248,False
COD,2030,21241746.0,1405071200.0,2676964574.871028,COD,-1271893342.871028,False
COG,2026,6432454.0,532057600.0,17016575.41326812,COG,515041024.5867319,True
COG,2027,6432454.0,532057600.0,16457257.719373122,COG,515600342.2806269,True
COG,2028,6432454.0,532057600.0,15897940.025478123,COG,516159659.9745219,True
COG,2029,6432454.0,532057600.0,15337089.954339573,COG,516720510.04566044,True
COG,2030,6432454.0,532057600.0,14777772.260444572,COG,517279827.7395554,True
RWA,2026,6432454.0,532057600.0,0.0,COG | AGO | TZA | UGA | ZMB | RWA,532057600.0,True
RWA,2027,6432454.0,532057600.0,0.0,COG | AGO | TZA | UGA | ZMB | RWA,532057600.0,True
RWA,2028,6432454.0,532057600.0,0.0,COG | AGO | TZA | UGA | ZMB | RWA,532057600.0,True
RWA,2029,6432454.0,532057600.0,0.0,COG | AGO | TZA | UGA | ZMB | RWA,532057600.0,True
RWA,2030,6432454.0,532057600.0,0.0,COG | AGO | TZA | UGA | ZMB | RWA,532057600.0,True
BDI,2026,6432454.0,532057600.0,0.0,COG | RWA | ZMB | TZA | UGA | AGO | BDI,532057600.0,True
BDI,2027,6432454.0,532057600.0,0.0,COG | RWA | ZMB | TZA | UGA | AGO | BDI,532057600.0,True
BDI,2028,6432454.0,532057600.0,0.0,COG | RWA | ZMB | TZA | UGA | AGO | BDI,532057600.0,True
BDI,2029,6432454.0,532057600.0,0.0,COG | RWA | ZMB | TZA | UGA | AGO | BDI,532057600.0,True
BDI,2030,6432454.0,532057600.0,0.0,COG | RWA | ZMB | TZA | UGA | AGO | BDI,532057600.0,True
COL,2026,9053393.0,384022720.0,354218275.6164424,COL,29804444.383557618,False
COL,2027,9053393.0,384022720.0,365391713.81197655,COL,18631006.188023448,False
COL,2028,9053393.0,384022720.0,376565152.0075108,COL,7457567.992489219,False
COL,2029,9053393.0,384022720.0,387769202.3624848,COL,-3746482.3624848127,False
COL,2030,9053393.0,384022720.0,398942640.55801886,COL,-14919920.558018863,False
CUB,2026,6432454.0,532057600.0,53241587.40671944,CUB,478816012.59328055,True
CUB,2027,6432454.0,532057600.0,54495077.650123596,CUB,477562522.3498764,True
CUB,2028,6432454.0,532057600.0,55748567.89352777,CUB,476309032.10647225,True
CUB,2029,6432454.0,532057600.0,57005492.35677688,CUB,475052107.6432231,True
CUB,2030,6432454.0,532057600.0,58258982.600181036,CUB,473798617.39981896,True
ECU,2026,6432454.0,532057600.0,0.0,CUW | DOM | GUY | TTO | BOL | BRA | CRI | ARG | ABW | MEX | COL | CHL | PAN | PRY | URY | PER | ECU,532057600.0,True
ECU,2027,6432454.0,532057600.0,0.0,CUW | DOM | GUY | TTO | BOL | BRA | CRI | ARG | ABW | MEX | COL | CHL | PAN | PRY | URY | PER | ECU,532057600.0,True
ECU,2028,6432454.0,532057600.0,0.0,CUW | DOM | GUY | TTO | BOL | BRA | CRI | ARG | ABW | MEX | COL | CHL | PAN | PRY | URY | PER | ECU,532057600.0,True
ECU,2029,6432454.0,532057600.0,0.0,CUW | DOM | GUY | TTO | BOL | BRA | CRI | ARG | ABW | MEX | COL | CHL | PAN | PRY | URY | PER | ECU,532057600.0,True
ECU,2030,6432454.0,532057600.0,0.0,CUW | DOM | GUY | TTO | BOL | BRA | CRI | ARG | ABW | MEX | COL | CHL | PAN | PRY | URY | PER | ECU,532057600.0,True
DJI,2026,6432454.0,532057600.0,95748008.20991199,DJI,436309591.790088,True
DJI,2027,6432454.0,532057600.0,99001493.9071489,DJI,433056106.0928511,True
DJI,2028,6432454.0,532057600.0,102254979.60438578,DJI,429802620.3956142,True
DJI,2029,6432454.0,532057600.0,105517378.96106717,DJI,426540221.0389328,True
DJI,2030,6432454.0,532057600.0,108770864.65830408,DJI,423286735.3416959,True
TZA,2026,6432454.0,532057600.0,0.0,DJI | ETH | SOM | KEN | TZA,532057600.0,True
TZA,2027,6432454.0,532057600.0,0.0,DJI | ETH | SOM | KEN | TZA,532057600.0,True
TZA,2028,6432454.0,532057600.0,0.0,DJI | ETH | SOM | KEN | TZA,532057600.0,True
TZA,2029,6432454.0,532057600.0,0.0,DJI | ETH | SOM | KEN | TZA,532057600.0,True
TZA,2030,6432454.0,532057600.0,0.0,DJI | ETH | SOM | KEN | TZA,532057600.0,True
SOM,2026,6432454.0,532057600.0,0.0,DJI | ETH | YEM | SOM,532057600.0,True
SOM,2027,6432454.0,532057600.0,0.0,DJI | ETH | YEM | SOM,532057600.0,True
SOM,2028,6432454.0,532057600.0,0.0,DJI | ETH | YEM | SOM,532057600.0,True
SOM,2029,6432454.0,532057600.0,0.0,DJI | ETH | YEM | SOM,532057600.0,True
SOM,2030,6432454.0,532057600.0,0.0,DJI | ETH | YEM | SOM,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,DJI | SOM | ETH,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,DJI | SOM | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,DJI | SOM | ETH,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,DJI | SOM | ETH,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,DJI | SOM | ETH,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,DJI | YEM | SOM | ETH,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,DJI | YEM | SOM | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,DJI | YEM | SOM | ETH,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,DJI | YEM | SOM | ETH,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,DJI | YEM | SOM | ETH,532057600.0,True
DMA,2026,6432454.0,532057600.0,0.0,DMA,532057600.0,True
DMA,2027,6432454.0,532057600.0,0.0,DMA,532057600.0,True
DMA,2028,6432454.0,532057600.0,0.0,DMA,532057600.0,True
DMA,2029,6432454.0,532057600.0,0.0,DMA,532057600.0,True
