iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
MEX,2027,6432454.0,532057600.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,532057600.0,True
PRY,2026,6432454.0,532057600.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,532057600.0,True
PER,2030,6432454.0,532057600.0,0.0,PER,532057600.0,True
PER,2029,6432454.0,532057600.0,0.0,PER,532057600.0,True
PER,2028,6432454.0,532057600.0,0.0,PER,532057600.0,True
PER,2027,6432454.0,532057600.0,0.0,PER,532057600.0,True
PER,2026,6432454.0,532057600.0,0.0,PER,532057600.0,True
IRN,2030,6432454.0,532057600.0,0.0,PAK | IRN,532057600.0,True
IRN,2029,6432454.0,532057600.0,0.0,PAK | IRN,532057600.0,True
IRN,2028,6432454.0,532057600.0,0.0,PAK | IRN,532057600.0,True
IRN,2027,6432454.0,532057600.0,0.0,PAK | IRN,532057600.0,True
IRN,2026,6432454.0,532057600.0,0.0,PAK | IRN,532057600.0,True
NAM,2027,6432454.0,532057600.0,0.0,NAM,532057600.0,True
NAM,2026,6432454.0,532057600.0,0.0,NAM,532057600.0,True
NIC,2030,6432454.0,532057600.0,0.0,NIC,532057600.0,True
NIC,2029,6432454.0,532057600.0,0.0,NIC,532057600.0,True
NIC,2028,6432454.0,532057600.0,0.0,NIC,532057600.0,True
MEX,2026,6432454.0,532057600.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,532057600.0,True
NGA,2027,6432454.0,532057600.0,0.0, |  |  | NGA,532057600.0,True
